,District Name,District Code,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),no in Cohort_male,% Graduated_male,# in Cohort_female,% Graduated_female,# in Cohort_disadvantaged,% Graduated_disadvantaged,# in Cohort_white,% Graduated_white,# in Cohort_asian,% Graduated_asian,# in Cohort_hispanic,% Graduated_hispanic,# in Cohort_black,% Graduated_black,High School Graduates (#)_male,Attending Coll./Univ. (%)_male,High School Graduates (#)_female,Attending Coll./Univ. (%)_female,High School Graduates (#)_disadvantaged,Attending Coll./Univ. (%)_disadvantaged,High School Graduates (#)_white,Attending Coll./Univ. (%)_white,High School Graduates (#)_asian,Attending Coll./Univ. (%)_asian,High School Graduates (#)_hispanic,Attending Coll./Univ. (%)_hispanic,High School Graduates (#)_black,Attending Coll./Univ. (%)_black,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,Salary Totals,Average Salary,FTE Count
52,Chicopee,610000,       665,77.0,6.9,1.4,1.8,12.9,0.0,525,363.0,69.1,0.0,24.2,58.1,17.6,57.6,10.5,3.9,       338,74.3,       327,79.8,       506,72.1,       386,82.9,        20,80.0,       223,66.8,        20,70.0,261.0,59.8,264,78.4,241,66.8,327.0,66.1,16.0,87.5,155.0,71.0,14.0,,"   3,179",16.7,"      7,771",47.6,52.4,5.1,19.0,49.8,"     $45,103,467","  $70,320",    641
53,City on a Hill Charter Public School Circuit Street (District),4370000,        59,69.5,23.7,0.0,0.0,5.1,1.7,54,44.0,81.5,0.0,36.4,31.8,31.8,31.8,9.1,20.5,        24,58.3,        35,77.1,        57,71.9,,,,,        18,77.8,        41,65.9,26.0,65.4,28,96.4,30,83.3,,,,,18.0,88.9,36.0,77.8,     130,12.1,        273,56.8,43.2,8.8,23.1,50.9,,,
54,Clinton,640000,       107,91.6,4.7,0.0,0.9,2.8,0.0,100,65.0,65.0,0.0,29.2,35.4,35.4,33.8,27.7,3.1,        54,92.6,        53,90.6,        63,85.7,        65,93.8,,,        31,87.1,         8,100.0,51.0,54.9,49,75.5,33,51.5,61.0,72.1,3.0,,28.0,46.4,8.0,,     796,17.2,"      1,896",46.4,53.6,7.0,19.1,33.0,"      $9,543,100","  $66,410",    144
55,Codman Academy Charter Public (District),4380000,        24,62.5,20.8,0.0,8.3,8.3,0.0,18,17.0,94.4,0.0,47.1,11.8,41.2,11.8,17.6,23.5,        11,63.6,        13,61.5,        23,65.2,,,,,,,        20,60.0,9.0,,9,,10,,,,,,2.0,,16.0,93.8,      92,17.8,        316,50.9,49.1,4.4,23.7,47.2,,,
56,Cohasset,650000,       113,98.2,0.9,0.9,0.0,0.0,0.0,112,108.0,96.4,0.0,57.4,6.5,36.1,5.6,2.8,12.0,        59,96.6,        54,100.0,        14,100.0,       106,98.1,,,,,,,58.0,96.6,54,96.3,10,,105.0,96.2,2.0,,,,4.0,,     935,19.3,"      1,658",47.9,52.1,0.1,10.3,4.1,"      $9,764,547","  $80,832",    121
57,Community Charter School of Cambridge (District),4360000,        53,92.5,3.8,0.0,0.0,1.9,1.9,54,52.0,96.3,0.0,50.0,9.6,40.4,9.6,13.5,23.1,        19,84.2,        34,97.1,        46,91.3,,,,,        15,93.3,        34,91.2,18.0,100.0,36,94.4,21,95.2,1.0,,1.0,,16.0,100.0,34.0,94.1,     295,16.7,        403,52.9,47.1,3.7,20.1,32.0,,,
58,Concord-Carlisle,6400000,       316,97.5,2.5,0.0,0.0,0.0,0.0,314,285.0,90.8,0.0,69.1,4.9,26.0,4.6,1.4,8.8,       145,95.2,       171,99.4,        26,80.8,       261,97.7,        22,95.5,        11,100.0,        16,100.0,142.0,90.1,172,91.3,22,72.7,259.0,91.9,22.0,81.8,11.0,,17.0,88.2,     713,15.3,"      1,284",52.6,47.4,0.9,15.7,5.1,"      $9,582,276","  $97,978",     98
59,Danvers,710000,       265,93.6,2.3,0.4,0.8,3.0,0.0,255,204.0,80.0,0.0,43.6,20.1,36.3,19.1,14.7,10.3,       130,93.1,       135,94.1,        89,85.4,       245,94.3,,,        10,70.0,         6,100.0,126.0,72.2,129,87.6,47,61.7,238.0,80.7,3.0,,7.0,,6.0,,"   1,745",18.2,"      3,530",49.0,51.0,0.9,15.6,16.1,"     $22,234,367","  $80,735",    275
60,Dartmouth,720000,       274,89.4,5.5,0.4,1.1,2.9,0.7,252,219.0,86.9,0.0,28.8,21.0,50.2,20.5,14.6,21.9,       119,86.6,       155,91.6,        71,77.5,       252,89.3,,,,,,,107.0,81.3,145,91.0,39,76.9,231.0,87.0,2.0,,3.0,,3.0,,"   1,867",19.0,"      3,766",48.1,51.9,2.6,14.0,19.9,"     $20,514,152","  $66,282",    310
61,Dedham,730000,       192,91.7,4.7,0.5,0.5,2.6,0.0,182,141.0,77.5,0.0,39.7,19.9,40.4,19.1,10.6,17.7,       102,92.2,        90,91.1,        71,83.1,       137,94.9,         7,100.0,        24,79.2,        19,84.2,97.0,70.1,85,85.9,44,75.0,134.0,79.1,7.0,,19.0,63.2,17.0,82.4,"   1,151",16.6,"      2,769",48.3,51.7,5.6,19.8,18.3,"     $18,356,448","  $78,480",    234
62,Dennis-Yarmouth,6450000,       197,85.8,6.1,2.0,0.5,5.6,0.0,177,130.0,73.4,0.0,27.7,33.1,39.2,32.3,15.4,16.2,       109,79.8,        88,93.2,       100,78.0,       153,89.5,         9,77.8,        11,81.8,        14,64.3,92.0,67.4,85,80.0,63,69.8,143.0,74.1,7.0,,9.0,,10.0,,"   1,419",16.4,"      3,232",48.8,51.2,8.6,17.1,39.6,"     $20,163,454","  $68,351",    295
63,Dighton-Rehoboth,6500000,       213,92.5,4.7,0.9,0.5,1.4,0.0,201,154.0,76.6,0.0,37.7,20.8,41.6,18.2,13.0,18.2,       117,94.0,        96,90.6,        51,82.4,       200,93.0,,,,,,,113.0,66.4,88,89.8,34,64.7,190.0,76.3,3.0,,2.0,,2.0,,"   1,554",18.5,"      2,926",47.8,52.2,0.1,13.2,12.8,"     $15,720,965","  $70,120",    224
64,Douglas,770000,       102,87.3,9.8,0.0,1.0,2.0,0.0,88,67.0,76.1,0.0,43.3,13.4,43.3,11.9,23.9,10.4,        54,85.2,        48,89.6,        27,70.4,        96,87.5,,,,,,,45.0,57.8,43,95.3,16,43.8,83.0,75.9,,,4.0,,,,     563,20.4,"      1,479",48.9,51.1,0.1,17.4,13.3,"      $6,221,055","  $69,277",     90
65,Dover-Sherborn,6550000,       178,97.2,2.8,0.0,0.0,0.0,0.0,175,163.0,93.1,0.0,71.2,5.5,23.3,4.9,2.5,5.5,        99,98.0,        79,96.2,        17,88.2,       147,99.3,        12,100.0,         8,75.0,,,99.0,91.9,76,94.7,14,,147.0,95.2,12.0,,6.0,,2.0,,     892,14.8,"      1,191",49.0,51.0,0.5,13.9,3.2,"      $9,720,921","  $90,341",    108
66,Dracut,790000,       252,93.3,2.0,0.4,0.8,3.6,0.0,239,174.0,72.8,0.0,25.3,36.2,38.5,35.1,10.9,22.4,       120,91.7,       132,94.7,        92,84.8,       214,95.8,         9,77.8,        16,68.8,        11,90.9,113.0,61.1,126,83.3,53,62.3,208.0,74.5,7.0,,11.0,,11.0,,"   1,549",21.5,"      3,657",49.1,50.9,1.3,15.6,20.2,"     $15,451,696","  $71,835",    215
67,Dudley-Charlton Reg,6580000,       280,91.1,3.6,1.4,0.4,3.6,0.0,258,202.0,78.3,0.0,43.6,18.3,38.1,18.3,17.3,13.4,       142,88.7,       138,93.5,        84,81.0,       261,91.6,,,        15,80.0,,,128.0,70.3,130,86.2,52,65.4,240.0,79.6,,,14.0,,3.0,,"   1,774",19.2,"      4,043",49.0,51.0,1.5,13.4,17.8,"     $18,544,661","  $69,300",    268
68,Duxbury,820000,       267,97.8,0.7,0.0,0.4,1.1,0.0,266,237.0,89.1,0.4,54.9,6.8,38.0,6.3,5.9,10.5,       140,96.4,       127,99.2,        33,90.9,       254,97.6,,,,,,,138.0,84.8,128,93.8,21,76.2,252.0,89.7,4.0,,3.0,,,,"   1,407",20.9,"      3,248",48.4,51.6,0.4,13.0,5.6,"     $18,099,623","  $75,040",    241
69,East Bridgewater,830000,       147,95.2,0.0,1.4,0.0,3.4,0.0,142,117.0,82.4,0.9,29.1,32.5,37.6,31.6,15.4,12.0,        69,95.7,        78,94.9,        42,85.7,       139,95.7,,,,,,,68.0,73.5,74,90.5,26,65.4,135.0,82.2,2.0,,1.0,,2.0,,     789,21.6,"      2,333",49.8,50.2,0.8,17.9,14.2,"      $9,657,287","  $72,393",    133
70,East Longmeadow,870000,       223,96.0,3.1,0.4,0.4,0.0,0.0,221,187.0,84.6,0.0,31.0,31.0,38.0,26.2,11.8,15.5,        99,93.9,       124,97.6,        50,90.0,       205,96.6,,,        10,90.0,,,98.0,78.6,123,89.4,29,72.4,201.0,84.1,6.0,,9.0,,4.0,,"   1,182",17.9,"      2,668",49.6,50.4,1.9,16.7,15.9,"     $15,018,418","  $72,728",    207
71,Easthampton,860000,       114,87.7,4.4,0.0,1.8,6.1,0.0,102,83.0,81.4,0.0,27.7,51.8,20.5,51.8,6.0,9.6,        60,83.3,        54,92.6,        50,82.0,       103,89.3,,,         7,71.4,,,50.0,76.0,52,86.5,30,76.7,94.0,81.9,3.0,,5.0,,,,     514,19.6,"      1,562",49.5,50.5,0.9,19.5,27.8,"      $7,318,275","  $66,469",    110
72,Easton,880000,       279,96.8,2.2,0.0,0.7,0.4,0.0,269,247.0,91.8,0.0,41.3,12.1,46.6,12.1,12.1,16.6,       141,95.7,       138,97.8,        40,90.0,       240,97.5,         6,100.0,        11,90.9,        17,94.1,134.0,88.1,135,95.6,29,86.2,234.0,91.9,6.0,,9.0,,16.0,93.8,"   1,676",20.0,"      3,756",50.4,49.6,1.0,16.5,10.3,"     $19,685,039","  $74,227",    265
73,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,        75,86.7,6.7,0.0,1.3,5.3,0.0,67,55.0,82.1,0.0,10.9,50.9,38.2,49.1,18.2,20.0,        26,84.6,        49,87.8,        62,85.5,,,,,        29,82.8,        36,88.9,23.0,87.0,44,79.5,38,84.2,4.0,,4.0,,24.0,79.2,34.0,82.4,     164,17.1,        337,67.7,32.3,12.8,16.3,53.4,,,
74,Essex North Shore Agricultural and Technical School District,8170000,       236,97.5,1.7,0.0,0.4,0.4,0.0,232,154.0,66.4,0.0,26.0,35.1,39.0,32.5,10.4,11.7,       120,96.7,       116,98.3,        57,96.5,       203,97.5,,,        24,100.0,,,118.0,55.1,114,78.1,56,55.4,200.0,66.0,3.0,,24.0,66.7,3.0,,     835,16.1,"      1,201",55.3,44.7,0.3,21.6,20.1,"      $7,830,797","  $72,507",    108
75,Everett,930000,       502,76.7,7.8,4.6,0.6,10.2,0.2,406,253.0,62.3,0.8,24.5,43.1,31.6,41.5,8.7,20.6,       273,74.7,       229,79.0,       400,76.0,       165,87.9,        33,90.9,       180,65.6,       117,75.2,218.0,56.9,188,68.6,215,62.8,148.0,62.2,31.0,83.9,130.0,46.9,93.0,77.4,"   3,654",19.3,"      7,194",48.4,51.6,14.7,15.3,46.1,"     $41,665,324","  $79,227",    526
76,Fairhaven,940000,       182,91.8,3.8,0.5,0.5,3.3,0.0,168,126.0,75.0,0.0,28.6,27.0,44.4,26.2,16.7,19.0,       103,88.3,        79,96.2,        83,84.3,       170,92.9,,,,,,,92.0,69.6,76,81.6,56,66.1,159.0,74.8,1.0,,4.0,,2.0,,"   1,044",18.0,"      2,058",49.0,51.0,1.2,14.0,27.6,"      $9,523,958","  $67,165",    142
77,Fall River,950000,       679,71.7,4.9,6.0,1.6,15.8,0.0,494,308.0,62.3,0.3,14.9,54.5,30.2,53.9,10.1,13.0,       327,63.9,       352,79.0,       546,68.1,       428,74.1,        28,78.6,       140,60.7,        66,74.2,212.0,51.9,282,70.2,298,53.0,323.0,63.5,23.0,47.8,86.0,59.3,48.0,62.5,"   4,129",19.5,"     10,141",48.2,51.8,11.2,19.7,63.1,"     $49,756,821","  $69,591",    715
78,Falmouth,960000,       207,87.0,3.4,0.0,3.9,5.8,0.0,188,161.0,85.6,0.0,40.4,28.6,31.1,28.0,10.6,6.8,       103,81.6,       104,92.3,        94,78.7,       171,87.7,         8,100.0,         6,83.3,        10,70.0,92.0,77.2,96,93.8,64,82.8,155.0,85.8,8.0,,5.0,,10.0,,"   1,682",18.0,"      3,554",48.8,51.2,2.6,17.1,25.7,"     $22,388,260","  $74,775",    299
79,Fitchburg,970000,       430,74.4,10.5,3.5,1.4,10.0,0.2,354,173.0,48.9,0.0,16.2,52.6,31.2,52.0,22.5,5.8,       208,68.8,       222,79.7,       345,72.8,       175,75.4,        26,100.0,       188,68.6,        28,78.6,166.0,42.2,188,54.8,209,42.1,153.0,41.8,27.0,74.1,138.0,48.6,23.0,73.9,"   2,263",19.5,"      5,477",48.7,51.3,9.3,20.9,56.1,"     $25,944,826","  $72,736",    357
80,Four Rivers Charter Public (District),4130000,        36,86.1,0.0,0.0,8.3,5.6,0.0,31,25.0,80.6,0.0,52.0,32.0,16.0,32.0,12.0,0.0,        16,81.3,        20,90.0,        20,80.0,        32,87.5,,,,,,,13.0,,18,88.9,14,,28.0,78.6,,,2.0,,1.0,,     339,13.7,        220,55.0,45.0,0.0,18.6,27.3,,,
81,Foxborough,990000,       229,95.2,3.9,0.0,0.0,0.9,0.0,219,194.0,88.6,0.0,45.9,11.3,42.8,11.3,16.5,10.3,       108,95.4,       121,95.0,        58,86.2,       201,95.5,         7,100.0,         7,100.0,        12,83.3,104.0,81.7,115,94.8,28,78.6,193.0,88.1,7.0,,7.0,,10.0,,"   1,389",16.2,"      2,649",47.4,52.6,1.0,18.4,12.6,"     $17,464,196","  $82,651",    211
82,Foxborough Regional Charter (District),4460000,        64,100.0,0.0,0.0,0.0,0.0,0.0,65,61.0,93.8,0.0,34.4,14.8,50.8,14.8,16.4,19.7,        23,100.0,        41,100.0,        15,100.0,        33,100.0,         6,100.0,,,        19,100.0,24.0,95.8,41,92.7,10,,33.0,93.9,6.0,,4.0,,20.0,90.0,     551,22.2,"      1,281",53.6,46.4,8.6,8.9,13.1,,,
83,Framingham,1000000,       534,84.8,8.2,1.9,0.2,4.9,0.0,479,379.0,79.1,0.0,28.2,25.6,46.2,25.1,15.6,14.0,       260,81.2,       274,88.3,       227,74.0,       363,90.9,        38,86.8,        87,66.7,        43,67.4,232.0,72.0,247,85.8,115,67.8,337.0,81.9,33.0,93.9,75.0,57.3,31.0,83.9,"   4,511",16.9,"      8,724",48.9,51.1,20.3,22.7,31.2,"     $56,397,617","  $76,898",    733
84,Francis W. Parker Charter Essential (District),4780000,        54,85.2,14.8,0.0,0.0,0.0,0.0,58,55.0,94.8,0.0,47.3,14.5,38.2,12.7,16.4,14.5,        28,82.1,        26,88.5,         7,71.4,        49,87.8,,,,,,,31.0,93.5,27,96.3,4,,52.0,96.2,1.0,,3.0,,,,     260,17.7,        401,51.4,48.6,0.0,14.7,4.5,,,
85,Franklin,1010000,       419,95.7,3.6,0.0,0.0,0.7,0.0,403,369.0,91.6,0.0,53.4,6.5,40.1,6.0,11.1,11.9,       189,94.2,       230,97.0,        53,77.4,       374,96.5,        22,100.0,         8,75.0,         8,62.5,180.0,90.0,223,92.8,31,87.1,362.0,91.7,22.0,100.0,6.0,,6.0,,"   2,539",18.6,"      5,530",48.9,51.1,1.1,15.1,8.3,"     $31,397,705","  $76,208",    412
86,Franklin County Regional Vocational Technical,8180000,       128,90.6,1.6,0.8,0.8,6.3,0.0,117,44.0,37.6,0.0,18.2,77.3,4.5,70.5,2.3,2.3,        79,91.1,        49,89.8,        57,87.7,       125,91.2,,,,,,,72.0,29.2,45,51.1,37,29.7,115.0,37.4,,,2.0,,,,     283,13.1,        485,35.7,64.3,0.0,29.7,33.8,"      $3,975,523","  $71,890",     55
87,Freetown-Lakeville,6650000,       205,91.7,4.4,1.0,0.0,2.9,0.0,194,171.0,88.1,0.0,28.7,25.1,46.2,24.0,17.5,21.1,        99,85.9,       106,97.2,        40,80.0,       195,91.3,,,,,,,88.0,83.0,106,92.5,27,66.7,183.0,89.1,1.0,,3.0,,2.0,,"   1,010",19.3,"      2,807",49.8,50.2,0.9,13.9,14.2,"     $13,263,884","  $69,336",    191
88,Frontier,6700000,       104,91.3,4.8,0.0,2.9,1.0,0.0,97,83.0,85.6,0.0,42.2,33.7,24.1,33.7,3.6,10.8,        51,88.2,        53,94.3,        29,89.7,        97,91.8,,,,,,,46.0,80.4,51,90.2,14,,91.0,86.8,1.0,,2.0,,1.0,,     443,13.3,        621,47.2,52.8,0.8,19.3,15.8,"      $3,426,386","  $66,019",     52
89,Gardner,1030000,       173,82.7,6.4,1.2,1.7,8.1,0.0,149,95.0,63.8,0.0,11.6,64.2,24.2,62.1,13.7,8.4,       102,75.5,        71,93.0,       109,76.1,       147,83.0,,,        12,66.7,,,79.0,58.2,70,70.0,73,53.4,127.0,64.6,3.0,,9.0,,3.0,,     933,17.6,"      2,465",48.2,51.8,4.4,21.9,47.4,"     $11,948,464","  $65,977",    181
90,Gateway,6720000,        71,88.7,1.4,1.4,2.8,5.6,0.0,63,34.0,54.0,0.0,35.3,32.4,32.4,32.4,14.7,14.7,        36,80.6,        35,97.1,        25,84.0,        69,88.4,,,,,,,28.0,42.9,35,62.9,15,33.3,61.0,52.5,,,1.0,,,,     488,14.3,        883,48.6,51.4,1.1,20.0,28.4,"      $4,909,756","  $59,440",     83
91,Georgetown,1050000,       103,96.1,1.9,0.0,1.0,1.0,0.0,100,86.0,86.0,0.0,43.0,18.6,38.4,15.1,8.1,12.8,        44,95.5,        59,96.6,        18,83.3,        99,97.0,,,,,,,43.0,81.4,57,89.5,8,,97.0,86.6,1.0,,1.0,,,,     585,18.9,"      1,484",48.8,51.2,0.1,12.9,8.2,"      $7,432,647","  $69,594",    107
92,Gill-Montague,6740000,        66,72.7,4.5,0.0,1.5,21.2,0.0,51,34.0,66.7,0.0,17.6,52.9,29.4,52.9,8.8,8.8,        33,84.8,        33,60.6,        48,66.7,        53,73.6,,,         8,75.0,,,30.0,53.3,21,85.7,19,57.9,41.0,65.9,,,7.0,,1.0,,     568,14.1,        924,47.2,52.8,6.7,21.5,38.7,"      $5,208,901","  $58,330",     89
93,Global Learning Charter Public (District),4960000,        23,87.0,0.0,0.0,0.0,13.0,0.0,21,17.0,81.0,0.0,5.9,35.3,58.8,35.3,35.3,5.9,        11,90.9,        12,83.3,        22,86.4,        13,100.0,,,         8,62.5,,,11.0,,10,,12,,13.0,,,,6.0,,2.0,,     197,16.4,        509,49.1,50.9,8.1,13.4,48.1,,,
94,Gloucester,1070000,       240,86.7,4.2,0.0,1.7,7.5,0.0,210,141.0,67.1,0.0,28.4,34.0,37.6,34.0,16.3,6.4,       123,84.6,       117,88.9,       131,81.7,       215,87.0,,,        16,81.3,,,106.0,58.5,104,76.0,77,50.6,188.0,67.6,4.0,,13.0,,3.0,,"   1,042",17.5,"      2,932",48.9,51.1,4.1,24.1,33.3,"     $19,448,137","  $74,743",    260
95,Grafton,1100000,       220,90.9,3.6,0.5,1.4,3.6,0.0,206,167.0,81.1,0.0,34.1,15.0,50.9,14.4,13.8,20.4,       104,87.5,       116,94.0,        39,66.7,       195,90.3,        10,100.0,,,,,95.0,73.7,111,87.4,17,82.4,179.0,81.0,10.0,,6.0,,6.0,,"   1,434",20.8,"      3,246",49.6,50.4,0.6,16.1,11.1,"     $16,350,764","  $73,300",    223
96,Granby,1110000,        75,92.0,2.7,1.3,1.3,2.7,0.0,70,53.0,75.7,0.0,22.6,56.6,20.8,56.6,7.5,5.7,        36,91.7,        39,92.3,        31,90.3,        74,91.9,,,,,,,33.0,60.6,37,89.2,19,73.7,69.0,75.4,,,,,,,     531,15.0,        822,46.4,53.6,3.2,15.7,22.6,"      $4,224,113","  $64,294",     66
97,Greater Fall River Regional Vocational Technical,8210000,       337,97.0,0.6,0.6,0.0,1.8,0.0,328,192.0,58.5,0.0,11.5,63.5,25.0,60.9,7.8,14.1,       180,96.7,       157,97.5,       183,95.6,       285,97.2,         9,100.0,        17,88.2,         9,100.0,175.0,46.9,153,71.9,118,51.7,278.0,55.4,9.0,,15.0,66.7,9.0,,     914,13.5,"      1,398",44.6,55.4,0.9,9.3,33.3,"     $11,166,331","  $79,250",    141
98,Greater Lawrence Regional Vocational Technical,8230000,       318,95.9,0.9,0.3,0.0,2.8,0.0,309,174.0,56.3,0.0,9.8,67.8,22.4,64.9,14.4,7.5,       167,96.4,       151,95.4,       283,95.8,        68,94.1,,,       242,96.7,,,164.0,42.1,145,72.4,184,58.2,64.0,50.0,2.0,,238.0,58.4,4.0,,"   1,374",12.7,"      1,384",48.7,51.3,9.8,20.5,47.9,"     $10,891,707","  $83,206",    131
99,Greater Lowell Regional Vocational Technical,8280000,       486,93.6,3.5,1.0,0.2,1.6,0.0,459,208.0,45.3,0.0,16.3,65.4,18.3,63.5,8.2,8.2,       258,92.6,       228,94.7,       340,91.8,       260,93.5,        75,93.3,       117,94.0,        18,88.9,242.0,34.3,217,57.6,214,41.1,246.0,47.6,70.0,44.3,111.0,40.5,16.0,50.0,"   1,319",17.9,"      2,119",45.0,55.0,4.4,21.4,40.8,"     $15,303,584","  $83,577",    183
100,Greater New Bedford Regional Vocational Technical,8250000,       528,93.2,1.7,0.0,0.0,5.1,0.0,505,306.0,60.6,1.3,15.0,60.1,23.5,59.2,6.5,14.4,       249,92.0,       279,94.3,       319,91.2,       383,93.7,         6,100.0,        76,90.8,        59,93.2,237.0,48.5,268,71.3,192,58.3,370.0,60.0,6.0,,71.0,62.0,55.0,61.8,"   1,566",14.5,"      2,174",52.3,47.7,2.7,6.7,35.0,"     $15,938,850","  $90,408",    176
101,Greenfield,1140000,       106,72.6,6.6,0.9,1.9,17.9,0.0,78,46.0,59.0,0.0,6.5,60.9,32.6,60.9,6.5,15.2,        55,74.5,        51,70.6,        70,67.1,        73,75.3,,,        20,55.0,,,43.0,55.8,35,62.9,37,54.1,56.0,62.5,4.0,,11.0,,1.0,,"   1,008",14.7,"      1,692",48.5,51.5,4.6,16.4,47.0,"      $9,799,125","  $61,206",    160
102,Groton-Dunstable,6730000,       225,97.8,0.9,0.0,0.0,1.3,0.0,220,196.0,89.1,0.0,38.3,16.8,44.9,14.3,7.7,17.3,       128,96.9,        97,99.0,        21,90.5,       206,98.1,         9,88.9,,,,,124.0,91.1,96,86.5,14,,202.0,89.1,8.0,,5.0,,1.0,,     953,18.6,"      2,506",47.6,52.4,0.7,16.6,5.8,"     $13,424,416","  $78,414",    171
103,Hadley,1170000,        53,96.2,3.8,0.0,0.0,0.0,0.0,52,46.0,88.5,0.0,39.1,28.3,32.6,26.1,8.7,13.0,        30,96.7,        23,95.7,        11,90.9,        45,95.6,,,,,,,30.0,86.7,22,90.9,5,,44.0,86.4,2.0,,5.0,,,,     446,17.2,        621,47.3,52.7,1.4,13.4,14.0,"      $3,240,587","  $64,425",     50
104,Hamilton-Wenham,6750000,       165,97.6,1.2,0.0,0.6,0.6,0.0,161,150.0,93.2,0.0,56.7,6.0,37.3,5.3,4.7,12.7,        63,95.2,       102,99.0,        14,92.9,       146,97.3,         7,100.0,,,,,60.0,90.0,101,95.0,10,,142.0,93.7,7.0,,4.0,,4.0,,     892,17.4,"      1,825",51.9,48.1,0.9,13.9,6.7,"     $11,456,903","  $77,047",    149
105,Hampden Charter School of Science (District),4990000,        35,94.3,5.7,0.0,0.0,0.0,0.0,33,32.0,97.0,0.0,31.3,50.0,18.8,50.0,6.3,9.4,        18,94.4,        17,94.1,        27,92.6,        14,92.9,,,        11,90.9,         9,100.0,17.0,94.1,16,100.0,17,94.1,13.0,,,,10.0,,9.0,,     315,18.1,        450,52.0,48.0,2.2,10.2,41.1,,,
106,Hampden-Wilbraham,6800000,       297,94.3,1.7,0.3,0.3,3.0,0.3,283,245.0,86.6,0.0,49.0,28.6,22.4,26.1,6.9,7.8,       143,93.7,       154,94.8,        54,79.6,       251,94.8,         9,100.0,        18,88.9,        11,90.9,137.0,81.8,146,91.1,37,78.4,240.0,86.7,9.0,,16.0,81.3,11.0,,"   1,174",19.1,"      3,194",50.3,49.7,0.9,14.9,12.6,"     $16,055,449","  $74,503",    216
107,Hampshire,6830000,       134,97.8,2.2,0.0,0.0,0.0,0.0,131,106.0,80.9,0.0,30.2,44.3,25.5,44.3,15.1,6.6,        67,97.0,        67,98.5,        33,93.9,       128,97.7,,,,,,,64.0,73.4,67,88.1,23,56.5,125.0,80.8,,,4.0,,1.0,,     524,13.3,        747,51.9,48.1,0.5,19.9,13.7,"      $4,937,763","  $73,369",     67
108,Hanover,1220000,       205,98.5,0.5,0.0,0.0,1.0,0.0,205,182.0,88.8,0.0,34.1,14.8,51.1,14.8,17.6,12.6,        96,97.9,       109,99.1,        30,96.7,       197,98.5,,,,,,,97.0,85.6,108,91.7,20,75.0,197.0,88.8,1.0,,3.0,,4.0,,"   1,558",18.9,"      2,628",48.4,51.6,0.9,18.9,5.9,"     $16,046,856","  $76,595",    210
109,Harvard,1250000,       104,94.2,3.8,0.0,0.0,1.9,0.0,100,91.0,91.0,0.0,61.5,5.5,33.0,5.5,2.2,16.5,        57,94.7,        47,93.6,         6,83.3,        96,94.8,         6,100.0,,,,,56.0,89.3,44,93.2,4,,93.0,90.3,6.0,,1.0,,,,     539,16.6,"      1,141",47.7,52.3,1.7,11.8,4.8,"      $7,534,387","  $87,711",     86
110,Hatfield,1270000,        28,100.0,0.0,0.0,0.0,0.0,0.0,29,27.0,93.1,0.0,44.4,37.0,18.5,37.0,11.1,3.7,        11,100.0,        17,100.0,         6,100.0,        26,100.0,,,,,,,11.0,,18,94.4,6,,26.0,92.3,1.0,,,,1.0,,     278,13.6,        451,49.7,50.3,0.0,18.2,8.4,"      $2,510,729","  $60,646",     41
111,Haverhill,1280000,       497,74.4,7.4,3.0,1.0,14.1,0.0,385,263.0,68.3,0.0,28.9,39.9,31.2,38.8,5.7,16.0,       270,69.6,       227,80.2,       291,64.9,       342,79.2,         9,88.9,       129,60.5,        12,75.0,197.0,65.0,188,71.8,146,51.4,273.0,72.2,8.0,,88.0,56.8,10.0,,"   3,578",18.3,"      7,360",47.1,52.9,7.9,22.0,42.6,"     $34,467,532","  $72,472",    476
112,Hingham,1310000,       277,98.2,1.4,0.0,0.0,0.4,0.0,280,249.0,88.9,0.0,61.4,7.6,30.9,7.2,4.4,8.0,       146,97.9,       131,98.5,        37,94.6,       254,98.4,,,         7,100.0,,,145.0,90.3,135,87.4,34,88.2,258.0,89.5,3.0,,7.0,,4.0,,"   1,979",18.5,"      4,372",48.7,51.3,0.2,11.3,4.7,"     $23,999,483","  $79,812",    301
113,Holbrook,1330000,        83,83.1,7.2,0.0,1.2,8.4,0.0,70,52.0,74.3,0.0,40.4,34.6,25.0,34.6,11.5,11.5,        44,70.5,        39,97.4,        50,76.0,        50,82.0,,,         8,75.0,        17,94.1,31.0,67.7,39,79.5,25,72.0,42.0,73.8,3.0,,6.0,,16.0,87.5,     333,14.9,"      1,202",49.8,50.2,6.1,18.4,29.4,"      $5,758,096","  $65,359",     88
