,District Name,District Code,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),no in Cohort_male,% Graduated_male,# in Cohort_female,% Graduated_female,# in Cohort_disadvantaged,% Graduated_disadvantaged,# in Cohort_white,% Graduated_white,# in Cohort_asian,% Graduated_asian,# in Cohort_hispanic,% Graduated_hispanic,# in Cohort_black,% Graduated_black,High School Graduates (#)_male,Attending Coll./Univ. (%)_male,High School Graduates (#)_female,Attending Coll./Univ. (%)_female,High School Graduates (#)_disadvantaged,Attending Coll./Univ. (%)_disadvantaged,High School Graduates (#)_white,Attending Coll./Univ. (%)_white,High School Graduates (#)_asian,Attending Coll./Univ. (%)_asian,High School Graduates (#)_hispanic,Attending Coll./Univ. (%)_hispanic,High School Graduates (#)_black,Attending Coll./Univ. (%)_black,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,Salary Totals,Average Salary,FTE Count
15,Attleboro,160000,       468,85.0,8.8,0.9,0.4,4.9,0.0,418,302.0,72.2,0.0,30.5,27.8,41.7,24.5,11.3,17.2,       267,79.0,       201,93.0,       217,75.1,       334,84.1,        24,91.7,        54,81.5,        30,93.3,226.0,65.9,192,79.7,115,56.5,296.0,70.9,22.0,95.5,47.0,63.8,30.0,80.0,"   2,722",19.9,"      5,970",46.5,53.5,5.2,15.8,27.1,"     $30,932,044","  $78,989",    392
16,Auburn,170000,       161,96.9,1.2,0.6,0.6,0.6,0.0,158,142.0,89.9,0.0,28.9,22.5,48.6,21.1,31.7,7.7,        65,93.8,        96,99.0,        53,96.2,       139,97.1,,,        10,100.0,,,63.0,88.9,95,90.5,25,72.0,137.0,89.8,4.0,,10.0,,3.0,,"   1,163",18.9,"      2,484",50.6,49.4,3.1,8.3,15.8,"     $12,056,719","  $68,465",    176
17,Avon,180000,        48,83.3,8.3,2.1,0.0,6.3,0.0,40,32.0,80.0,0.0,34.4,21.9,43.8,21.9,18.8,21.9,        23,78.3,        25,88.0,        28,85.7,        22,68.2,,,,,        21,95.2,19.0,68.4,21,90.5,14,,16.0,62.5,2.0,,3.0,,19.0,89.5,     316,14.7,        724,49.9,50.1,2.3,16.6,25.0,"      $4,459,922","  $68,299",     65
18,Ayer Shirley School District,6160000,        93,93.5,1.1,0.0,0.0,5.4,0.0,90,67.0,74.4,1.5,14.9,29.9,53.7,28.4,23.9,22.4,        47,95.7,        46,91.3,        35,91.4,        64,93.8,,,        11,90.9,         6,83.3,47.0,70.2,43,79.1,25,64.0,63.0,74.6,4.0,,10.0,,5.0,,     846,18.9,"      1,765",48.0,52.0,3.6,19.7,24.0,"      $8,319,846","  $68,154",    122
19,Barnstable,200000,       407,82.8,6.6,2.2,0.5,7.9,0.0,362,273.0,75.4,0.0,31.9,30.0,38.1,29.3,11.7,10.6,       197,78.7,       210,86.7,       196,67.9,       306,87.9,        15,100.0,        30,70.0,        27,51.9,172.0,67.4,190,82.6,115,61.7,285.0,81.1,15.0,73.3,23.0,47.8,20.0,45.0,"   1,937",18.4,"      4,934",48.8,51.2,9.5,14.9,30.1,"     $28,240,747","  $77,349",    365
20,Bedford,230000,       218,92.7,4.6,0.0,1.4,1.4,0.0,204,181.0,88.7,0.0,39.2,18.8,42.0,15.5,2.2,18.8,       120,93.3,        98,91.8,        37,83.8,       169,92.9,        16,100.0,        12,91.7,        14,78.6,114.0,83.3,90,95.6,24,87.5,160.0,87.5,16.0,100.0,11.0,,11.0,,"   1,226",14.5,"      2,558",48.8,51.2,6.0,15.4,7.5,"     $18,992,213","  $85,551",    222
21,Belchertown,240000,       184,91.3,2.7,0.0,3.3,2.7,0.0,171,136.0,79.5,0.0,33.8,28.7,37.5,28.7,6.6,16.9,        96,90.6,        88,92.0,        55,83.6,       167,92.2,,,         6,83.3,,,89.0,73.0,82,86.6,30,63.3,157.0,80.3,4.0,,5.0,,2.0,,"   1,212",17.3,"      2,378",48.7,51.3,0.7,17.8,17.7,"     $10,912,638","  $63,188",    173
22,Bellingham,250000,       173,88.4,4.6,1.7,1.2,4.0,0.0,156,102.0,65.4,0.0,36.3,14.7,49.0,10.8,23.5,12.7,       106,85.8,        67,92.5,        62,82.3,       157,88.5,,,         6,83.3,,,91.0,64.8,65,66.2,40,42.5,141.0,64.5,2.0,,6.0,,2.0,,     793,18.3,"      2,317",48.4,51.6,1.5,18.7,16.4,"     $11,921,547","  $76,176",    157
23,Belmont,260000,       320,96.3,1.6,0.0,1.3,0.6,0.3,313,280.0,89.5,0.0,62.9,5.7,31.4,5.4,2.5,17.1,       141,94.3,       179,97.8,        57,93.0,       217,95.4,        63,98.4,        13,100.0,        12,100.0,137.0,86.9,176,91.5,36,88.9,211.0,90.0,62.0,90.3,13.0,,12.0,,"   1,414",21.3,"      4,398",50.1,49.9,6.5,8.5,7.2,"     $22,257,855","  $85,279",    261
24,Berkshire Arts and Technology Charter Public (District),4140000,        23,91.3,8.7,0.0,0.0,0.0,0.0,23,21.0,91.3,4.8,33.3,38.1,23.8,33.3,19.0,0.0,         8,75.0,        15,100.0,        14,85.7,        17,88.2,,,,,,,8.0,,15,86.7,11,,17.0,88.2,1.0,,1.0,,3.0,,     166,15.8,        354,52.3,47.7,2.0,25.1,36.4,,,
